"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000198573",26.5724959673571,21.1174258444437,2.48464403206804,8.49917556474563,NA,NA
"ENSG00000169550",14.2660151468645,20.8070070761741,2.68385609046491,7.75265378426821,NA,NA
"ENSG00000227234",106.992783220088,9.59368543222481,2.56930393923195,3.73396283940338,NA,NA
"ENSG00000231317",71.2124764452338,8.88316644052052,2.11577863522805,4.19853300936798,NA,NA
"ENSG00000211639",61.381497685479,8.78320815945746,2.30741531648512,3.80651376312995,NA,NA
"ENSG00000122133",377.285534037614,7.56298572880001,1.81918726192525,4.15734316476912,NA,NA
"ENSG00000267448",15.5782037118344,6.84728056146112,2.34369257972462,2.92157794955585,NA,NA
"ENSG00000214897",28.5384370291054,6.57585119536589,2.23836709506521,2.93778943135077,NA,NA
"ENSG00000254337",30.9178661867182,6.2247390040266,2.21798465675951,2.80648424913857,NA,NA
"ENSG00000222032",42.2051246987046,6.21704397820998,1.99324474715616,3.11905699843437,NA,NA
"ENSG00000239855",239.016542592363,6.15484565736916,1.77941013525238,3.45892469388245,NA,NA
"ENSG00000242766",20.5312548859416,6.07249710017326,2.26226306445414,2.68425772209586,0.0072691047428062,0.0288064572305413
"ENSG00000047936",368.55369052127,5.92348712993035,1.68026397338067,3.52533127161703,NA,NA
"ENSG00000239819",31.9573687567729,5.65625961060039,2.18683571819883,2.58650412718662,NA,NA
"ENSG00000211942",52.6497225042343,5.56984353778321,2.01028651979087,2.77067148535753,NA,NA
"ENSG00000250993",6.19091223354496,5.51463511197984,2.83965294945967,1.94201024214215,NA,NA
"ENSG00000155495",125.798890190753,5.42014147003376,1.81951507740822,2.97889340810212,NA,NA
"ENSG00000272763",45.0833975028301,5.39870060989414,1.7434817683902,3.09650534222614,NA,NA
"ENSG00000247345",72.8037414271857,5.3980760389611,1.88181021198101,2.86855497148061,NA,NA
"ENSG00000163646",8.65058419886755,5.39673952769024,2.42496429917833,2.22549236272008,NA,NA
